CaseID	VehicleNumber	GVEMake	GVEModel	GVEYear	GVEBodyType	GVEVehicleClass	GVECurbWeight	GVEWeightSource	GVECargoWeight	GVECargoSource	GVEVIN	GVESpecialUse	GVEInspection	GVEInspectionDate	GVEPARSevCode	GVERESSevCode	VINMake	VINModel	VINYear	Series	VINBodyType	Roof1	Roof2	Roof3	FrontWheelDrive	FourWheelDrive	GVERestraintType	Carburetion	FuelType	VINWeight	VehicleType	WheelConfig	DayRunningLights	BaseWeight	GVEMotorcycleDisplacement	GVETravelSpeed	GVEPostedSpeed	DriverPresent	PARAlcoholPresent	PARAlcoholTest	PARAlcoholTestResult	PARTestDelay	PARTestSource	PARDrugsPresent	ZipCode	EthnicOrigin	CMVCrashes	CMVViolations	NonCMVCrashes	NonCMVViolations	TotalCrashes	GVETotalViolations	PrevViolations	UnkTypeCrashes	MCMIScrashes	MCMIScmvViolations	MCMIScmvNonViolations	PSU	PSUStrata	RATWeight
161005202	1	12	481	2000	31	31	2156	4	0	1	1FTRX08L2Y	0	2	2001-12-01	3	3	FORD	COF	2000	F15	4C	None/not available	Unknown	Unknown	8	8	Unknown	888	Gas	2	Truck	44	Optional	9999	88888887	64	72	1	0	96	9999	99:99	0	0	27513	1	98	98	98	98	98	98	98	98	98	98	98	43	9	205.616
161005202	2	84	881	1999	61	60	4990	99	1361	99	1HTSCABM5X	88	3	2001-12-01	0	0	INTL	40S	1999	470	CC	Unknown	Unknown	Unknown	8	8	No restraint information available	888	Diesel	6	Truck	42	Unknown	9999	88888887	16	72	1	0	96	9999	97:97	0	0	27513	1	88	88	88	88	88	0	88	88	0	98	98	43	9	205.616
207003882	1	7	14	1987	4	2	1177	2	0	1	1B3BE46K8H	0	3	2001-05-01	4	4	DODG	6SE	1987	888	4D	None/not available	Unknown	Unknown	Y	N	Active (manual) belts	F	Gas	0	Passenger Vehicle	999	Not available	2535	88888887	72	72	1	9	97	9999	97:97	1	9	85348	9	98	98	98	98	98	98	98	98	98	98	98	78	12	0
207003882	2	87	881	1997	68	68	7160	99	999999	0	1XP5J89X0V	88	2	2001-05-01	0	0	9999999999	9999999999	9999	999	9999999999	Unknown	Unknown	Unknown	9	9	Unknown	999	Unknown	0	Unknown	999	Unknown	9999	88888887	0	72	1	0	99	9999	97:97	9	0	78238	3	98	98	98	98	98	98	98	98	98	98	98	78	12	0
207004905	1	82	881	2001	68	68	7711	99	20865	99	1FUPCSZB41	88	3	2002-02-01	4	4	FRHT	CON	2001	FLD	DS	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	121	121	1	9	97	9999	97:97	0	9	77363	9	98	98	98	98	98	98	98	98	98	98	98	78	12	49.662
222004325	1	20	2	1989	4	5	1684	2	9	1	1G1BU51E2K	0	3	2001-11-01	2	3	CHEV	CCB	1989	888	4D	None/not available	Unknown	Unknown	N	N	Active (manual) belts	F	Gas	0	Passenger Vehicle	999	Not available	3770	88888887	9999	97	1	0	96	9999	97:97	0	0	98155	1	0	88	0	88	0	0	88	88	88	88	88	82	10	33.237
222004325	2	21	441	1996	20	20	1725	3	9	2	1GHDU06E9T	0	0	8888-88-88	9	2	OLDS	SIL	1996	SIL	SV	None/not available	Unknown	Unknown	8	8	Driver front air bag/passenger side active belt	888	Gas	1	Truck	42	Not available	9999	88888887	9999	97	1	0	96	9999	97:97	0	0	98036	1	0	88	0	88	0	0	88	88	88	88	88	82	10	33.237
222004325	3	82	881	1990	68	68	9526	99	4853	99	2FUYDSEB1L	88	3	2001-10-01	9	0	FRHT	CON	1990	FLD	DS	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	9999	97	1	0	96	9999	97:97	0	0	1	1	0	88	0	88	0	0	88	88	88	88	88	82	10	33.237
222004362	1	38	882	1988	63	60	4445	99	4073	99	JALB4B1H5J	88	3	2001-10-01	2	2	ISU	NPR	1988	NPR	TB	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	3	Truck	42	Unknown	9999	88888887	9999	97	1	0	96	9999	97:97	0	0	98058	3	0	88	0	88	0	4	88	88	0	0	1	82	10	62.628
222005126	1	86	883	1999	63	60	12701	99	999999	0	1M2P270C5X	88	3	2003-05-01	1	2	MACK	600	1999	RD6	TM	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	9999	89	1	0	96	9999	99:99	0	0	08332	1	98	98	98	98	98	98	98	98	98	98	98	5	2	790.707
240006845	1	23	461	2002	21	21	2182	4	68	1	1GTGG25R22	0	3	2003-10-01	2	2	GMC	SAV	2002	SA2	CG	None/not available	Unknown	Unknown	8	8	Dual front air bags/active belts	888	Gas	2	Truck	42	Standard	9999	88888887	9999	80	1	0	96	9999	97:97	0	0	48507	1	98	98	98	98	98	98	98	98	98	98	98	12	5	292.312
240006845	2	12	401	1996	14	14	1882	4	0	1	1FMDU34X9T	0	3	2003-10-01	1	2	FORD	EPR	1996	EPR	4W	None/not available	Power sun/moon roof	Unknown	8	8	Unknown	888	Gas	1	Truck	44	Not available	9999	88888887	9999	80	1	0	96	9999	97:97	0	0	48506	3	0	88	0	88	0	0	88	88	88	88	88	12	5	292.312
240006845	3	23	883	1994	68	68	7031	99	0	99	4V1GDDJF3R	88	3	2003-10-01	1	2	WHGM	WHC	1994	HCL	DS	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	9999	80	1	0	96	9999	97:97	0	0	48507	1	0	1	0	3	0	4	0	88	0	4	2	12	5	292.312
329005924	1	20	401	2000	14	14	1778	3	34	1	1GNDT13W7Y	0	2	2003-05-01	3	3	CHEV	BZR	2000	BZR	4W	None/not available	Unknown	Unknown	8	8	Dual front air bags/active belts	888	Gas	1	Truck	44	Standard	9999	88888887	9999	80	1	0	96	9999	99:99	0	0	08510	1	88	88	88	88	88	0	88	88	88	88	88	4	3	53.409
329005924	2	85	881	1999	62	60	9453	99	0	99	1NKWXBTX0X	88	3	2003-05-01	1	2	KW	CON	1999	W90	TM	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	999	Unknown	9999	88888887	9999	80	1	0	96	9999	99:99	0	7	08731	1	88	5	88	1	88	6	3	88	0	8	0	4	3	53.409
