CaseID	Stratum	EventSequence	VehicleNumber	ClassVehicle	DamageArea	EVEObjectContact	ClassVehicle2	DamageArea2	PSU	PSUStrata	RATWeight
332006431	S	1	1	60	N	38	0	N	8	2	0
332006531	S	1	1	60	F	72	0	0	8	2	137.133
332006696	S	1	1	68	R	31	0	N	8	2	206.963
332006697	S	1	1	68	R	31	0	N	8	2	137.133
332006697	S	2	1	68	R	56	0	0	8	2	137.133
332006697	S	3	1	68	F	64	0	0	8	2	137.133
332006751	S	1	1	68	R	31	0	N	8	2	206.963
332006751	S	2	1	68	T	56	0	0	8	2	206.963
332006751	S	3	1	68	T	64	0	0	8	2	206.963
333006234	S	1	1	60	F	2	68	R	9	8	216.96
333006234	S	2	2	68	L	68	0	0	9	8	216.96
333006294	S	1	1	68	L	31	0	N	9	8	468.821
333006374	S	1	1	68	B	2	68	F	9	8	756.035
333006374	S	2	2	68	N	35	0	N	9	8	756.035
333006374	S	3	1	68	F	56	0	0	9	8	756.035
333006454	K	1	1	4	L	2	68	F	9	8	756.035
333006454	K	2	1	4	R	56	0	0	9	8	756.035
333006454	K	3	1	4	L	2	68	F	9	8	756.035
333006454	K	4	1	4	R	56	0	0	9	8	756.035
333006454	K	5	2	68	N	34	0	N	9	8	756.035
333006634	S	1	1	1	F	2	68	B	9	8	0
333006714	S	1	2	14	R	1	2	R	9	8	756.035
333006714	S	2	3	68	F	1	2	L	9	8	756.035
333006714	S	3	3	68	R	43	0	0	9	8	756.035
333006859	B	1	1	2	U	79	0	0	9	8	0
333006859	B	2	1	2	R	2	68	B	9	8	0
333006958	S	1	1	68	N	34	0	N	9	8	756.035
333006958	S	2	1	68	F	58	0	0	9	8	756.035
333006978	S	1	1	68	F	2	68	B	9	8	468.821
333007018	B	1	1	5	R	56	0	0	9	8	216.96
333007018	B	2	1	5	L	3	60	L	9	8	216.96
333007018	B	3	1	5	F	2	14	F	9	8	216.96
333007018	B	4	1	5	N	33	0	N	9	8	216.96
335006545	S	1	1	68	L	31	0	N	11	6	125.127
335006545	S	2	1	68	T	54	0	0	11	6	125.127
335006546	S	1	1	68	F	54	0	0	11	6	125.127
335006546	S	2	1	68	L	68	0	0	11	6	125.127
335006565	S	1	1	60	L	31	0	N	11	6	68.691
335006565	S	2	1	60	B	56	0	0	11	6	68.691
335006827	S	1	1	3	F	2	68	L	11	6	68.691
335006828	B	1	1	20	L	2	60	F	11	6	21.198
335006865	B	1	1	2	L	2	68	F	11	6	21.198
335006865	B	2	1	2	L	2	68	L	11	6	21.198
335006865	B	3	1	2	F	2	68	L	11	6	21.198
335006865	B	4	1	2	U	60	0	0	11	6	21.198
335006865	B	5	2	68	R	31	0	N	11	6	21.198
335006865	B	6	2	68	N	35	0	N	11	6	21.198
