CaseID	VehicleNumber	LastSleepHours	LastSleepStart	LastSleepEnd	HoursSinceSleep	MainSleepHours	MainSleepStart	MainSleepEnd	HoursDriving	ADSHoursOnDuty	WeekLongest	WeekShortest	WeekAverage	Rotation	HoursWorked	ADSLongestDay	ADSShortestDay	ADSAverageDay	LastWeekHours	LastWeekMoonlight	PSU	PSUStrata	RATWeight
207004905	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	78	12	49.662
222004325	1	08:00	23:30	07:30	05:04	98:98	98:98	98:98	98:98	98:98	08:00	08:00	08:00	2	98:98	98:98	98:98	98:98	98:98	98:98	82	10	33.237
222004325	2	08:30	21:30	06:00	06:34	98:98	98:98	98:98	98:98	98:98	10:00	10:00	10:00	2	98:98	98:98	98:98	98:98	98:98	98:98	82	10	33.237
222004325	3	07:30	20:30	04:00	08:34	98:98	98:98	98:98	04:45	01:49	10:00	07:00	07:00	2	08:34	11:00	07:00	09:21	42:30	98:98	82	10	33.237
222004362	1	12:30	18:00	06:30	02:30	98:98	98:98	98:98	00:30	00:30	12:30	09:00	09:30	2	01:15	08:00	00:00	08:00	40:00	30:00	82	10	62.628
222005126	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	02:00	99:99	99:99	99:99	9	02:00	12:00	06:00	08:00	60:00	99:99	5	2	790.707
240006845	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	12	5	292.312
240006845	2	08:00	22:00	06:00	03:35	98:98	98:98	98:98	98:98	98:98	08:00	08:00	08:00	2	00:00	08:00	08:00	08:00	32:00	98:98	12	5	292.312
240006845	3	09:15	20:00	05:15	04:20	98:98	98:98	98:98	02:30	02:30	13:00	06:00	07:30	2	02:30	10:00	07:00	09:00	41:00	98:98	12	5	292.312
329005924	1	08:00	22:00	06:00	07:00	98:98	98:98	98:98	98:98	98:98	08:00	07:00	07:30	2	99:99	99:99	99:99	99:99	40:00	99:99	4	3	53.409
329005924	2	09:00	20:00	05:00	08:00	98:98	98:98	98:98	07:00	07:00	08:00	08:00	08:00	2	07:00	08:00	08:00	08:00	40:00	98:98	4	3	53.409
329005981	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
329005981	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
329005981	3	07:00	00:00	07:00	01:52	98:98	98:98	98:98	98:98	00:00	07:00	07:00	07:00	2	00:00	08:00	08:00	08:00	40:00	98:98	4	3	22.769
329005981	4	08:15	23:00	07:15	01:37	98:98	98:98	98:98	98:98	99:99	10:00	07:30	08:00	2	99:99	10:00	08:00	08:30	45:00	98:98	4	3	22.769
329005981	5	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	22.769
329005981	6	08:00	23:00	07:00	01:52	98:98	98:98	98:98	99:99	99:99	10:00	08:00	08:00	2	99:99	08:00	08:00	08:00	40:00	98:98	4	3	22.769
329005982	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
329005982	2	07:30	22:00	05:30	05:30	98:98	98:98	98:98	99:99	04:00	09:30	07:30	08:00	2	04:00	11:00	06:00	10:00	50:00	98:98	4	3	34.364
329006004	1	12:00	20:00	08:00	06:01	98:98	98:98	98:98	98:98	99:99	10:00	06:00	09:00	2	99:99	12:00	04:00	08:00	40:00	98:98	4	3	53.409
329006004	2	06:00	00:00	06:00	08:01	98:98	98:98	98:98	98:98	99:99	08:00	04:00	06:00	2	99:99	08:30	07:30	08:00	40:00	98:98	4	3	53.409
329006004	3	07:00	22:00	05:00	09:01	98:98	98:98	98:98	08:00	08:00	07:00	06:00	06:30	2	08:00	10:00	02:30	09:30	38:00	98:98	4	3	53.409
329006005	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
329006005	2	10:00	21:00	07:00	02:00	98:98	98:98	98:98	01:00	01:00	10:00	07:00	08:30	2	01:00	04:00	04:00	04:00	20:00	98:98	4	3	34.364
329006024	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
329006024	2	08:00	22:00	06:00	08:30	98:98	98:98	98:98	07:00	07:00	08:00	08:00	08:00	2	99:99	08:00	08:00	08:00	40:00	98:98	4	3	34.364
329006101	1	08:00	18:30	02:30	08:40	98:98	98:98	98:98	06:10	06:10	12:00	08:00	10:00	2	06:10	11:00	09:00	10:00	60:00	98:98	4	3	34.364
329006242	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	99:99	99:99	99:99	2	98:98	98:98	98:98	98:98	98:98	98:98	4	3	22.769
329006242	2	06:00	23:00	05:00	09:30	98:98	98:98	98:98	98:98	98:98	07:00	06:00	06:00	2	08:00	08:00	08:00	08:00	40:00	98:98	4	3	22.769
329006242	3	09:30	22:00	07:30	07:00	98:98	98:98	98:98	06:30	06:30	10:00	08:00	09:00	2	06:30	10:00	10:00	10:00	50:00	98:98	4	3	22.769
329006341	1	07:30	21:00	04:30	08:30	98:98	98:98	98:98	06:00	06:00	10:00	07:00	08:00	2	06:00	10:00	10:00	10:00	50:00	98:98	4	3	34.364
329006401	1	09:00	22:00	07:00	01:00	98:98	98:98	98:98	98:98	98:98	10:00	07:00	08:00	2	98:98	98:98	98:98	98:98	98:98	98:98	4	3	34.364
329006401	2	07:00	23:30	06:30	01:30	98:98	98:98	98:98	00:40	00:40	10:00	06:00	08:00	2	00:40	12:00	08:00	09:00	50:00	98:98	4	3	34.364
329006424	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	34.364
329006424	2	07:00	21:00	04:00	08:00	98:98	98:98	98:98	07:00	07:00	09:00	07:00	08:00	2	07:00	11:00	08:00	10:00	50:00	98:98	4	3	34.364
329006526	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	4	3	53.409
329006526	2	07:00	22:00	05:00	10:45	98:98	98:98	98:98	07:00	07:00	08:00	07:00	07:00	2	07:00	09:30	08:00	08:30	34:30	98:98	4	3	53.409
329006566	1	05:30	02:30	08:00	01:30	98:98	98:98	98:98	98:98	98:98	07:00	05:00	06:00	2	98:98	98:98	98:98	98:98	98:98	98:98	4	3	0
329006566	2	07:30	22:00	05:30	04:00	98:98	98:98	98:98	01:30	01:30	08:00	07:30	07:30	2	01:30	09:00	07:00	08:00	16:00	98:98	4	3	0
329006606	1	08:00	23:00	07:00	03:45	98:98	98:98	98:98	98:98	98:98	08:00	07:00	08:00	2	00:00	12:00	05:30	07:00	20:00	98:98	4	3	34.364
329006606	2	08:00	20:00	04:00	06:45	98:98	98:98	98:98	05:45	05:45	10:00	07:00	08:00	2	05:45	12:00	06:00	08:00	45:00	98:98	4	3	34.364
331005648	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	6	1	19.812
331005648	2	01:45	18:15	20:00	08:05	04:45	06:30	11:15	07:05	08:05	09:00	02:30	07:00	1	04:05	10:00	09:00	10:00	60:00	98:98	6	1	19.812
331005767	1	08:00	22:00	06:00	02:00	98:98	98:98	98:98	99:99	99:99	07:00	03:00	07:00	2	00:00	08:00	08:00	08:00	40:00	98:98	6	1	19.812
331005767	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	6	1	19.812
331005767	3	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	6	1	19.812
331005767	4	07:00	17:00	00:00	08:00	98:98	98:98	98:98	07:00	07:00	09:00	05:00	07:00	2	99:99	10:00	08:00	09:00	38:00	98:98	6	1	19.812
331005867	1	05:00	21:00	02:00	01:30	98:98	98:98	98:98	01:00	01:00	06:00	03:00	06:00	1	01:00	10:00	08:00	09:00	61:00	98:98	6	1	29.901
331005868	1	08:00	22:00	06:00	05:43	98:98	98:98	98:98	05:00	05:00	08:00	08:00	08:00	2	05:00	10:00	08:00	08:00	42:00	98:98	6	1	29.901
331005868	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	05:00	99:99	99:99	99:99	9	05:00	10:00	06:00	08:00	42:00	99:99	6	1	29.901
331006007	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	08:00	08:00	08:00	9	98:98	98:98	98:98	98:98	98:98	98:98	6	1	46.473
331006007	2	05:30	19:30	01:00	03:10	98:98	98:98	98:98	01:00	01:00	06:00	05:00	06:00	2	01:00	10:00	09:00	10:00	53:00	98:98	6	1	46.473
331006008	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	6	1	19.812
331006008	2	04:45	20:00	00:45	99:99	98:98	98:98	98:98	00:30	03:45	14:00	03:00	06:00	2	03:45	10:00	08:00	08:00	42:00	98:98	6	1	19.812
331006127	1	06:00	20:00	02:00	09:53	98:98	98:98	98:98	08:23	09:00	08:00	05:00	05:00	2	09:00	13:00	10:00	12:00	68:00	98:98	6	1	19.812
331006249	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	10:00	10:00	10:00	82:00	99:99	6	1	46.473
331006250	1	06:00	23:00	05:00	04:00	98:98	98:98	98:98	04:00	04:00	09:00	06:00	08:00	2	03:00	10:00	08:00	08:00	56:00	98:98	6	1	29.901
331006253	1	08:00	22:00	06:00	07:53	98:98	98:98	98:98	98:98	99:99	09:00	08:00	08:00	2	99:99	10:00	07:00	09:00	51:00	98:98	6	1	29.901
331006253	2	08:00	22:00	06:00	07:53	98:98	98:98	98:98	00:23	01:00	10:00	08:00	08:00	2	01:00	10:00	09:00	09:00	49:00	98:98	6	1	29.901
331006312	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	09:00	99:99	99:99	99:99	2	09:00	10:00	08:00	09:00	36:00	99:99	6	1	19.812
331006314	1	04:00	14:00	18:00	12:00	98:98	98:98	98:98	02:00	03:00	08:00	02:00	99:99	2	03:00	99:99	10:00	99:99	84:00	98:98	6	1	19.812
331006352	1	07:45	23:00	06:45	00:21	98:98	98:98	98:98	98:98	98:98	08:00	08:00	08:00	2	00:00	03:00	02:00	03:00	10:00	98:98	6	1	46.473
331006352	2	07:45	23:00	06:45	00:21	98:98	98:98	98:98	00:20	00:20	08:00	08:00	08:00	1	00:20	10:00	10:00	10:00	70:00	98:98	6	1	46.473
332006056	1	13:30	17:00	06:30	05:40	98:98	98:98	98:98	05:00	05:00	13:00	08:00	10:00	2	05:00	10:00	06:00	08:00	19:00	98:98	8	2	206.963
332006211	1	07:30	21:30	05:00	10:30	98:98	98:98	98:98	09:00	09:00	10:00	06:30	07:30	2	09:00	12:00	08:00	11:00	60:00	98:98	8	2	206.963
332006431	1	07:00	23:00	06:00	06:00	98:98	98:98	98:98	01:00	04:00	09:30	07:00	07:00	2	04:00	10:00	05:00	08:30	99:99	98:98	8	2	0
332006531	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	8	2	137.133
332006696	1	16:00	16:00	08:00	09:00	98:98	98:98	98:98	02:30	99:99	99:99	99:99	08:00	2	99:99	99:99	99:99	99:99	99:99	98:98	8	2	206.963
332006697	1	99:99	99:99	09:15	02:05	99:99	99:99	99:99	01:20	01:20	99:99	99:99	99:99	9	01:20	99:99	99:99	99:99	99:99	99:99	8	2	137.133
332006751	1	99:99	99:99	19:00	10:00	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	2	99:99	99:99	99:99	99:99	99:99	98:98	8	2	206.963
333006234	1	04:00	14:00	18:00	10:50	98:98	98:98	98:98	99:99	03:50	99:99	99:99	08:00	2	03:50	07:00	05:00	06:00	45:00	32:00	9	8	216.96
333006234	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	04:30	05:00	99:99	99:99	99:99	9	05:00	08:45	06:15	07:00	30:00	99:99	9	8	216.96
333006294	1	08:00	21:30	05:30	04:00	98:98	98:98	98:98	02:00	02:00	09:00	07:00	08:00	9	02:00	09:00	06:00	08:00	40:00	98:98	9	8	468.821
333006374	1	97:97	97:97	97:97	97:97	97:97	97:97	97:97	97:97	97:97	97:97	97:97	97:97	7	97:97	97:97	97:97	97:97	97:97	97:97	9	8	756.035
