CaseID	VehicleNumber	Axle	BrakeType	BRAPosition	ABSInstalled	ABSFunctional	AdjustorType	ChamberSize	ChamberType	StrokeType	LeftLength	RightLength	PSU	PSUStrata	RATWeight
329006005	2	3	1	1	0	0	1	76.2	14	2	3.81	4.76	4	3	34.364
329006024	2	1	1	1	1	1	2	17.2	12	2	2.86	1.27	4	3	34.364
329006024	2	2	1	1	1	1	2	20.6	14	2	3.81	5.4	4	3	34.364
329006101	1	1	1	1	1	1	2	17.2	12	2	2.86	2.54	4	3	34.364
329006101	1	2	1	1	1	1	2	20.6	14	2	3.18	3.49	4	3	34.364
329006101	1	3	1	2	1	1	2	20.6	14	2	3.49	4.13	4	3	34.364
329006242	3	1	1	1	0	0	2	17.2	12	2	3.18	3.18	4	3	22.769
329006242	3	2	1	1	0	0	2	20.6	14	2	2.54	2.54	4	3	22.769
329006242	3	3	1	1	0	0	2	20.6	14	2	2.54	2.54	4	3	22.769
329006242	3	4	1	2	0	0	2	20.6	14	2	2.54	2.54	4	3	22.769
329006242	3	5	1	2	0	0	2	20.6	14	2	3.18	2.54	4	3	22.769
329006341	1	1	1	1	1	1	2	60.96	13	2	5.72	5.72	4	3	34.364
329006341	1	2	1	1	1	1	2	76.2	14	2	5.08	3.81	4	3	34.364
329006341	1	3	1	1	1	1	2	76.2	14	2	5.72	5.72	4	3	34.364
329006341	1	4	1	1	1	1	2	76.2	14	2	2.54	3.81	4	3	34.364
329006401	2	1	1	1	99	99	99	60.96	30	2	3.81	6.03	4	3	34.364
329006401	2	2	1	1	99	99	99	60.96	13	2	1.91	2.54	4	3	34.364
329006401	2	3	1	1	99	99	99	76.2	14	2	2.86	4.25	4	3	34.364
329006401	2	4	1	1	99	99	99	76.2	14	2	3.81	3.81	4	3	34.364
329006424	2	1	1	1	1	1	2	17.2	12	2	2.86	2.9	4	3	34.364
329006424	2	2	1	1	1	1	2	20.6	14	2	3.81	3.18	4	3	34.364
329006526	2	1	1	1	1	1	2	17.2	12	2	1.91	3.81	4	3	53.409
329006526	2	2	1	1	1	1	2	20.6	14	2	3.81	2.54	4	3	53.409
329006526	2	3	1	1	1	1	2	20.6	14	2	3.18	3.18	4	3	53.409
329006566	2	1	1	1	99	99	2	17.2	12	2	3.81	3.18	4	3	0
329006566	2	2	1	1	99	99	2	20.6	14	2	5.08	3.18	4	3	0
329006566	2	3	1	2	99	99	2	20.6	14	2	3.81	3.81	4	3	0
329006606	2	1	1	1	99	99	2	18.4	13	2	2.54	2.86	4	3	34.364
329006606	2	2	1	1	99	99	2	20.6	14	2	3.81	2.86	4	3	34.364
329006606	2	3	1	1	99	99	2	20.6	14	2	5.72	3.81	4	3	34.364
329006606	2	4	1	1	99	99	2	20.6	14	2	6.35	4.45	4	3	34.364
331005648	2	1	1	1	0	0	1	17.2	12	2	1.91	2.54	6	1	19.812
331005648	2	2	1	1	0	0	1	20.6	14	2	4.13	3.81	6	1	19.812
331005648	2	3	1	1	0	0	1	20.6	14	2	3.18	3.81	6	1	19.812
331005648	2	4	1	2	0	0	1	20.6	14	2	3.81	4.45	6	1	19.812
331005648	2	5	1	2	0	0	1	20.6	14	2	4.76	4.45	6	1	19.812
331005767	4	1	1	1	0	0	1	17.2	12	2	3.81	3.51	6	1	19.812
331005767	4	2	1	1	0	0	1	20.6	14	2	5.72	6.35	6	1	19.812
331005767	4	3	1	1	0	0	1	20.6	14	2	5.72	6.55	6	1	19.812
331005767	4	4	1	1	0	0	1	20.6	14	2	6.55	6.05	6	1	19.812
331005867	1	1	1	1	1	99	1	17.2	12	2	4.13	4.45	6	1	29.901
331005867	1	2	1	1	99	99	1	20.6	14	2	5.08	4.76	6	1	29.901
331005867	1	3	1	1	99	99	1	20.6	14	2	4.76	4.8	6	1	29.901
331005867	1	4	1	2	0	0	1	20.6	14	2	5.08	4.8	6	1	29.901
331005867	1	5	1	2	0	0	1	20.6	14	2	5.08	3.81	6	1	29.901
331005868	1	1	1	1	99	99	99	9994	99	3	9994	9994	6	1	29.901
331005868	1	2	1	1	99	99	99	9994	99	3	9994	9994	6	1	29.901
331005868	2	1	9	1	99	99	99	9994	99	3	9994	9994	6	1	29.901
331005868	2	2	9	1	99	99	99	9994	99	3	9994	9994	6	1	29.901
331006007	2	1	1	1	99	99	1	18.4	13	2	4.45	3.81	6	1	46.473
331006007	2	2	1	1	99	99	1	18.4	13	2	3.81	3.81	6	1	46.473
331006007	2	3	1	1	99	99	1	20.6	14	2	4.76	3.81	6	1	46.473
